,zip_code,march_20,april_20,diff,diffpct
158,10039,3321,3184,137,4.30
159,10038,3182,3111,71,2.28
160,10036,2902,2860,42,1.47
161,10030,2869,2716,153,5.63
162,11697,2786,2775,11,0.40
163,10037,2569,2496,73,2.92
164,10012,2549,2439,110,4.51
165,11001,2286,2321,-35,-1.51
166,10464,2121,2136,-15,-0.70
167,10017,1912,1854,58,3.13
168,10018,1848,1751,97,5.54
169,10474,1571,1578,-7,-0.44
170,10007,1495,1403,92,6.56
171,10044,1343,1243,100,8.05
172,10069,1236,1149,87,7.57
173,11109,1164,1104,60,5.43
174,11040,1054,1091,-37,-3.39
175,10280,988,863,125,14.48
176,11005,983,1016,-33,-3.25
177,10004,979,908,71,7.82
178,10005,920,857,63,7.35
179,10282,730,709,21,2.96
180,11003,500,500,0,0.00
181,11202,485,469,16,3.41
182,10006,440,408,32,7.84
183,21152,309,241,68,28.22
184,11430,280,313,-33,-10.54
185,30009,244,295,-51,-17.29
186,10162,226,227,-1,-0.44
187,10020,224,221,3,1.36
188,11580,222,227,-5,-2.20
189,10708,189,200,-11,-5.50
190,11431,156,155,1,0.65
191,11518,153,144,9,6.25
192,10701,152,154,-2,-1.30
193,11352,146,158,-12,-7.59
194,60015,144,149,-5,-3.36
195,11386,137,143,-6,-4.20
196,11706,136,158,-22,-13.92
197,10704,127,126,1,0.79
198,10705,123,117,6,5.13
199,11096,121,125,-4,-3.20
200,11554,120,123,-3,-2.44
201,11550,115,114,1,0.88
202,10956,115,110,5,4.55
203,10550,113,108,5,4.63
204,11010,106,98,8,8.16
205,10150,105,77,28,36.36
206,11021,103,101,2,1.98
207,11937,101,73,28,38.36
208,11598,100,110,-10,-9.09
209,11581,98,106,-8,-7.55
210,60016,94,109,-15,-13.76
211,11530,93,81,12,14.81
212,11717,92,96,-4,-4.17
213,10710,92,87,5,5.75
214,10116,87,96,-9,-9.38
215,11690,85,96,-11,-11.46
216,10163,84,98,-14,-14.29
217,11510,83,79,4,5.06
218,10801,82,81,1,1.23
219,11572,81,88,-7,-7.95
220,11590,74,84,-10,-11.90
221,10041,72,75,-3,-4.00
222,11520,72,82,-10,-12.20
223,10552,69,70,-1,-1.43
224,11757,68,75,-7,-9.33
225,11746,67,66,1,1.52
226,11561,67,64,3,4.69
227,11575,65,60,5,8.33
228,10977,65,74,-9,-12.16
229,11758,62,65,-3,-4.62
230,8054,62,71,-9,-12.68
231,11756,62,69,-7,-10.14
232,11243,60,52,8,15.38
233,11968,59,40,19,47.50
234,11553,59,61,-2,-3.28
235,10703,58,57,1,1.75
236,11371,58,73,-15,-20.55
237,11552,58,60,-2,-3.33
238,11577,56,54,2,3.70
239,11023,55,61,-6,-9.84
240,10153,53,55,-2,-3.64
241,11439,53,56,-3,-5.36
242,10940,53,60,-7,-11.67
243,11710,52,51,1,1.96
244,10583,51,58,-7,-12.07
245,11247,51,54,-3,-5.56
246,10101,50,53,-3,-5.66
247,11050,49,48,1,2.08
248,60173,49,48,1,2.08
249,11701,49,51,-2,-3.92
250,10008,49,63,-14,-22.22
251,11729,48,48,0,0.00
252,10573,47,35,12,34.29
253,10950,47,31,16,51.61
254,10803,47,42,5,11.90
255,11801,46,49,-3,-6.12
256,11735,46,51,-5,-9.80
257,11559,45,53,-8,-15.09
258,11030,45,46,-1,-2.17
259,11566,45,54,-9,-16.67
260,10152,45,30,15,50.00
261,11772,44,49,-5,-10.20
262,11024,44,45,-1,-2.22
263,10271,44,46,-2,-4.35
264,11722,43,47,-4,-8.51
265,10119,43,38,5,13.16
266,11901,43,65,-22,-33.85
267,11020,43,44,-1,-2.27
268,10805,42,42,0,0.00
269,11727,42,45,-3,-6.67
270,11542,41,46,-5,-10.87
271,10553,40,45,-5,-11.11
272,11576,39,41,-2,-4.88
273,10313,38,43,-5,-11.63
274,10185,38,44,-6,-13.64
275,11501,38,34,4,11.76
276,11507,38,41,-3,-7.32
277,11963,38,34,4,11.76
278,63101,37,37,0,0.00
279,11516,37,34,3,8.82
280,12550,37,31,6,19.35
281,11714,37,34,3,8.82
282,10106,37,34,3,8.82
283,11967,36,38,-2,-5.26
284,10952,36,29,7,24.14
285,10566,36,37,-1,-2.70
286,11743,36,40,-4,-10.00
287,10523,35,27,8,29.63
288,11563,35,37,-2,-5.41
289,11570,35,35,0,0.00
290,11704,35,39,-4,-10.26
291,6032,34,33,1,3.03
292,11798,33,37,-4,-10.81
293,11976,33,22,11,50.00
294,11791,32,37,-5,-13.51
295,11596,32,34,-2,-5.88
296,11950,32,28,4,14.29
297,10170,32,33,-1,-3.03
298,10276,32,41,-9,-21.95
299,10168,32,34,-2,-5.88
300,10562,32,39,-7,-17.95
301,11803,31,34,-3,-8.82
302,10272,31,37,-6,-16.22
303,10538,31,34,-3,-8.82
304,10804,30,29,1,3.45
305,11793,30,30,0,0.00
306,10954,30,31,-1,-3.23
307,11726,30,31,-1,-3.23
308,10158,30,34,-4,-11.76
309,10901,29,21,8,38.10
310,10169,29,31,-2,-6.45
311,60143,29,33,-4,-12.12
312,11946,29,31,-2,-6.45
313,11953,28,33,-5,-15.15
314,10603,28,29,-1,-3.45
315,10118,28,37,-9,-24.32
316,11545,28,25,3,12.00
317,10606,28,26,2,7.69
318,11930,27,16,11,68.75
319,10927,27,32,-5,-15.63
320,12590,27,27,0,0.00
321,11747,27,25,2,8.00
322,10512,27,22,5,22.73
323,10108,27,31,-4,-12.90
324,10285,27,21,6,28.57
325,10111,26,25,1,4.00
326,10543,26,34,-8,-23.53
327,10159,26,27,-1,-3.70
328,10601,25,22,3,13.64
329,10591,25,26,-1,-3.85
330,11565,25,26,-1,-3.85
331,11779,25,26,-1,-3.85
332,10274,25,29,-4,-13.79
333,11763,24,35,-11,-31.43
334,11703,23,22,1,4.55
335,11713,23,22,1,4.55
336,11951,22,15,7,46.67
337,10311,22,22,0,0.00
338,10122,22,19,3,15.79
339,12401,22,15,7,46.67
340,10121,21,27,-6,-22.22
341,12553,21,16,5,31.25
342,10567,21,20,1,5.00
343,10598,21,25,-4,-16.00
344,11954,21,14,7,50.00
345,10171,21,23,-2,-8.70
346,10155,21,32,-11,-34.38
347,11762,21,22,-1,-4.55
348,11351,21,25,-4,-16.00
349,10541,21,19,2,10.53
350,11784,21,21,0,0.00
351,12534,20,12,8,66.67
352,10709,20,16,4,25.00
353,11932,20,14,6,42.86
354,10165,19,21,-2,-9.52
355,12533,19,16,3,18.75
356,10923,19,18,1,5.56
357,13760,19,14,5,35.71
358,10113,19,22,-3,-13.64
359,10941,19,22,-3,-13.64
360,11753,18,13,5,38.46
361,11002,18,24,-6,-25.00
362,11754,18,20,-2,-10.00
363,10151,18,19,-1,-5.26
364,11557,18,19,-1,-5.26
365,11776,18,16,2,12.50
366,11783,18,16,2,12.50
367,10528,17,19,-2,-10.53
368,10156,17,21,-4,-19.05
369,11741,17,14,3,21.43
370,10281,17,15,2,13.33
371,10607,17,14,3,21.43
372,11725,16,16,0,0.00
373,11788,16,15,1,6.67
374,30173,16,16,0,0.00
375,11720,16,24,-8,-33.33
376,11702,16,17,-1,-5.88
377,11787,16,17,-1,-5.88
378,12701,16,17,-1,-5.88
379,10980,16,19,-3,-15.79
380,10522,16,14,2,14.29
381,11768,15,13,2,15.38
382,12561,15,11,4,36.36
383,11959,15,12,3,25.00
384,11962,15,12,3,25.00
385,12601,15,15,0,0.00
386,10604,15,19,-4,-21.05
387,10104,15,13,2,15.38
388,10605,15,21,-6,-28.57
389,10175,15,20,-5,-25.00
390,10549,15,15,0,0.00
391,10530,15,14,1,7.14
392,10580,15,12,3,25.00
393,10990,15,15,0,0.00
394,11978,14,15,-1,-6.67
395,10167,14,14,0,0.00
396,10504,14,10,4,40.00
397,10965,14,13,1,7.69
398,12603,14,12,2,16.67
399,10154,14,14,0,0.00
400,10107,14,17,-3,-17.65
401,10970,14,12,2,16.67
402,12180,14,12,2,16.67
403,10707,13,15,-2,-13.33
404,10960,13,10,3,30.00
405,12529,13,14,-1,-7.14
406,11731,13,15,-2,-13.33
407,11241,13,14,-1,-7.14
408,11778,13,11,2,18.18
409,10520,13,13,0,0.00
410,11755,13,12,1,8.33
411,10509,12,13,-1,-7.69
412,12572,12,11,1,9.09
413,12758,12,6,6,100.00
414,11509,12,11,1,9.09
415,12206,12,8,4,50.00
416,10178,12,9,3,33.33
417,10547,12,7,5,71.43
418,12498,12,10,2,20.00
419,11942,12,14,-2,-14.29
420,10930,12,8,4,50.00
421,11738,12,14,-2,-14.29
422,10706,12,12,0,0.00
423,10992,12,11,1,9.09
424,13501,12,15,-3,-20.00
425,10502,12,16,-4,-25.00
