GEO_ID,NAME,B11001_001E
id,Geographic Area Name,Estimate!!Total:
8600000US10588,ZCTA5 10588,1182
8600000US10589,ZCTA5 10589,3820
8600000US10590,ZCTA5 10590,2704
8600000US10591,ZCTA5 10591,8908
8600000US10594,ZCTA5 10594,1552
8600000US10595,ZCTA5 10595,2354
8600000US10596,ZCTA5 10596,454
8600000US10597,ZCTA5 10597,330
8600000US10598,ZCTA5 10598,10530
8600000US10601,ZCTA5 10601,5268
8600000US10603,ZCTA5 10603,7040
8600000US10604,ZCTA5 10604,3808
8600000US10605,ZCTA5 10605,7255
8600000US10606,ZCTA5 10606,5632
8600000US10607,ZCTA5 10607,2416
8600000US10701,ZCTA5 10701,23565
8600000US10703,ZCTA5 10703,7301
8600000US10704,ZCTA5 10704,12222
8600000US10705,ZCTA5 10705,14041
8600000US10706,ZCTA5 10706,3128
8600000US10707,ZCTA5 10707,3964
8600000US10708,ZCTA5 10708,8868
8600000US10709,ZCTA5 10709,3652
8600000US10710,ZCTA5 10710,9631
8600000US10801,ZCTA5 10801,14758
8600000US10803,ZCTA5 10803,4006
8600000US10804,ZCTA5 10804,5124
8600000US10805,ZCTA5 10805,7602
8600000US10901,ZCTA5 10901,8609
8600000US10910,ZCTA5 10910,0
8600000US10911,ZCTA5 10911,0
8600000US10913,ZCTA5 10913,1488
8600000US10914,ZCTA5 10914,115
8600000US10915,ZCTA5 10915,30
8600000US10916,ZCTA5 10916,1268
8600000US10917,ZCTA5 10917,527
8600000US10918,ZCTA5 10918,4167
8600000US10919,ZCTA5 10919,339
8600000US10920,ZCTA5 10920,2995
8600000US10921,ZCTA5 10921,1391
8600000US10922,ZCTA5 10922,623
8600000US10923,ZCTA5 10923,2759
8600000US10924,ZCTA5 10924,4334
8600000US10925,ZCTA5 10925,1713
8600000US10926,ZCTA5 10926,1335
8600000US10927,ZCTA5 10927,3733
8600000US10928,ZCTA5 10928,1719
8600000US10930,ZCTA5 10930,2919
8600000US10931,ZCTA5 10931,303
8600000US10932,ZCTA5 10932,50
8600000US10933,ZCTA5 10933,177
8600000US10940,ZCTA5 10940,18075
8600000US10941,ZCTA5 10941,4993
8600000US10950,ZCTA5 10950,12363
8600000US10952,ZCTA5 10952,9282
8600000US10953,ZCTA5 10953,58
8600000US10954,ZCTA5 10954,8303
8600000US10956,ZCTA5 10956,10402
8600000US10958,ZCTA5 10958,937
8600000US10960,ZCTA5 10960,6175
8600000US10962,ZCTA5 10962,1861
8600000US10963,ZCTA5 10963,971
8600000US10964,ZCTA5 10964,479
8600000US10965,ZCTA5 10965,5332
8600000US10968,ZCTA5 10968,1154
8600000US10969,ZCTA5 10969,456
8600000US10970,ZCTA5 10970,3564
8600000US10973,ZCTA5 10973,795
8600000US10974,ZCTA5 10974,1127
8600000US10975,ZCTA5 10975,101
8600000US10976,ZCTA5 10976,712
8600000US10977,ZCTA5 10977,16269
8600000US10979,ZCTA5 10979,76
8600000US10980,ZCTA5 10980,4798
8600000US10983,ZCTA5 10983,1961
8600000US10984,ZCTA5 10984,961
8600000US10985,ZCTA5 10985,49
8600000US10986,ZCTA5 10986,551
8600000US10987,ZCTA5 10987,1336
8600000US10988,ZCTA5 10988,235
8600000US10989,ZCTA5 10989,3407
8600000US10990,ZCTA5 10990,7469
8600000US10992,ZCTA5 10992,3244
8600000US10993,ZCTA5 10993,1583
8600000US10994,ZCTA5 10994,2630
8600000US10996,ZCTA5 10996,875
8600000US10998,ZCTA5 10998,967
8600000US11001,ZCTA5 11001,9113
8600000US11003,ZCTA5 11003,12208
8600000US11004,ZCTA5 11004,5248
8600000US11005,ZCTA5 11005,1315
8600000US11010,ZCTA5 11010,7832
8600000US11020,ZCTA5 11020,1845
8600000US11021,ZCTA5 11021,7800
8600000US11023,ZCTA5 11023,2926
8600000US11024,ZCTA5 11024,1999
8600000US11030,ZCTA5 11030,6291
8600000US11040,ZCTA5 11040,12958
8600000US11042,ZCTA5 11042,0
8600000US11050,ZCTA5 11050,10949
8600000US11096,ZCTA5 11096,2555
8600000US11101,ZCTA5 11101,13896
8600000US11102,ZCTA5 11102,12945
8600000US11103,ZCTA5 11103,15512
8600000US11104,ZCTA5 11104,11552
8600000US11105,ZCTA5 11105,15225
8600000US11106,ZCTA5 11106,16917
8600000US11109,ZCTA5 11109,2907
8600000US11201,ZCTA5 11201,28593
8600000US11203,ZCTA5 11203,28276
8600000US11204,ZCTA5 11204,23397
8600000US11205,ZCTA5 11205,16459
8600000US11206,ZCTA5 11206,31163
8600000US11207,ZCTA5 11207,33619
8600000US11208,ZCTA5 11208,33316
8600000US11209,ZCTA5 11209,29352
8600000US11210,ZCTA5 11210,21893
8600000US11211,ZCTA5 11211,40435
8600000US11212,ZCTA5 11212,31802
8600000US11213,ZCTA5 11213,25504
8600000US11214,ZCTA5 11214,31823
8600000US11215,ZCTA5 11215,28445
8600000US11216,ZCTA5 11216,24871
8600000US11217,ZCTA5 11217,18074
8600000US11218,ZCTA5 11218,24848
8600000US11219,ZCTA5 11219,24225
8600000US11220,ZCTA5 11220,27637
8600000US11221,ZCTA5 11221,31497
8600000US11222,ZCTA5 11222,17446
8600000US11223,ZCTA5 11223,27951
8600000US11224,ZCTA5 11224,18930
8600000US11225,ZCTA5 11225,24136
8600000US11226,ZCTA5 11226,37191
8600000US11228,ZCTA5 11228,15124
8600000US11229,ZCTA5 11229,30774
8600000US11230,ZCTA5 11230,30147
8600000US11231,ZCTA5 11231,15658
8600000US11232,ZCTA5 11232,8760
8600000US11233,ZCTA5 11233,30567
8600000US11234,ZCTA5 11234,31743
8600000US11235,ZCTA5 11235,32338
8600000US11236,ZCTA5 11236,33752
8600000US11237,ZCTA5 11237,17056
8600000US11238,ZCTA5 11238,25060
8600000US11239,ZCTA5 11239,6705
8600000US11351,ZCTA5 11351,0
8600000US11354,ZCTA5 11354,19925
8600000US11355,ZCTA5 11355,27771
8600000US11356,ZCTA5 11356,7501
8600000US11357,ZCTA5 11357,14477
8600000US11358,ZCTA5 11358,13029
8600000US11359,ZCTA5 11359,0
8600000US11360,ZCTA5 11360,8541
8600000US11361,ZCTA5 11361,9908
8600000US11362,ZCTA5 11362,6988
8600000US11363,ZCTA5 11363,2804
8600000US11364,ZCTA5 11364,13470
8600000US11365,ZCTA5 11365,15705
8600000US11366,ZCTA5 11366,4534
8600000US11367,ZCTA5 11367,14348
8600000US11368,ZCTA5 11368,28633
8600000US11369,ZCTA5 11369,9655
8600000US11370,ZCTA5 11370,7850
8600000US11371,ZCTA5 11371,0
8600000US11372,ZCTA5 11372,23786
8600000US11373,ZCTA5 11373,30286
8600000US11374,ZCTA5 11374,19549
8600000US11375,ZCTA5 11375,32549
8600000US11377,ZCTA5 11377,31331
8600000US11378,ZCTA5 11378,12701
8600000US11379,ZCTA5 11379,13373
8600000US11385,ZCTA5 11385,35501
8600000US11411,ZCTA5 11411,6226
8600000US11412,ZCTA5 11412,11095
8600000US11413,ZCTA5 11413,12297
8600000US11414,ZCTA5 11414,10741
8600000US11415,ZCTA5 11415,8381
8600000US11416,ZCTA5 11416,7185
8600000US11417,ZCTA5 11417,8898
8600000US11418,ZCTA5 11418,10907
8600000US11419,ZCTA5 11419,12167
8600000US11420,ZCTA5 11420,13121
8600000US11421,ZCTA5 11421,11549
8600000US11422,ZCTA5 11422,9964
8600000US11423,ZCTA5 11423,9602
8600000US11424,ZCTA5 11424,0
8600000US11425,ZCTA5 11425,0
8600000US11426,ZCTA5 11426,6278
8600000US11427,ZCTA5 11427,7596
8600000US11428,ZCTA5 11428,5553
8600000US11429,ZCTA5 11429,7356
8600000US11430,ZCTA5 11430,0
8600000US11432,ZCTA5 11432,18697
8600000US11433,ZCTA5 11433,10599
8600000US11434,ZCTA5 11434,21706
8600000US11435,ZCTA5 11435,18893
8600000US11436,ZCTA5 11436,5410
8600000US11451,ZCTA5 11451,0
8600000US11501,ZCTA5 11501,7734
8600000US11507,ZCTA5 11507,2435
8600000US11509,ZCTA5 11509,827
8600000US11510,ZCTA5 11510,10728
8600000US11514,ZCTA5 11514,1671
8600000US11516,ZCTA5 11516,2320
8600000US11518,ZCTA5 11518,4000
8600000US11520,ZCTA5 11520,14259
8600000US11530,ZCTA5 11530,9500
8600000US11542,ZCTA5 11542,9998
8600000US11545,ZCTA5 11545,4359
8600000US11547,ZCTA5 11547,250
8600000US11548,ZCTA5 11548,544
8600000US11549,ZCTA5 11549,0
8600000US11550,ZCTA5 11550,16650
8600000US11552,ZCTA5 11552,7084
8600000US11553,ZCTA5 11553,6492
8600000US11554,ZCTA5 11554,12304
8600000US11556,ZCTA5 11556,0
8600000US11557,ZCTA5 11557,2764
8600000US11558,ZCTA5 11558,2890
8600000US11559,ZCTA5 11559,2549
8600000US11560,ZCTA5 11560,2357
8600000US11561,ZCTA5 11561,15660
8600000US11563,ZCTA5 11563,8050
8600000US11565,ZCTA5 11565,3110
8600000US11566,ZCTA5 11566,11185
8600000US11568,ZCTA5 11568,1042
8600000US11569,ZCTA5 11569,487
8600000US11570,ZCTA5 11570,10286
8600000US11572,ZCTA5 11572,10019
8600000US11575,ZCTA5 11575,4526
8600000US11576,ZCTA5 11576,4513
8600000US11577,ZCTA5 11577,4244
8600000US11579,ZCTA5 11579,1966
8600000US11580,ZCTA5 11580,13172
8600000US11581,ZCTA5 11581,6765
8600000US11590,ZCTA5 11590,14301
8600000US11596,ZCTA5 11596,3498
8600000US11598,ZCTA5 11598,4068
8600000US11691,ZCTA5 11691,20712
8600000US11692,ZCTA5 11692,7306
8600000US11693,ZCTA5 11693,4817
8600000US11694,ZCTA5 11694,8497
8600000US11697,ZCTA5 11697,1456
8600000US11701,ZCTA5 11701,8539
8600000US11702,ZCTA5 11702,5101
8600000US11703,ZCTA5 11703,5288
8600000US11704,ZCTA5 11704,12712
8600000US11705,ZCTA5 11705,2698
8600000US11706,ZCTA5 11706,18413
8600000US11709,ZCTA5 11709,2551
8600000US11710,ZCTA5 11710,11434
8600000US11713,ZCTA5 11713,3102
8600000US11714,ZCTA5 11714,7943
8600000US11715,ZCTA5 11715,1575
8600000US11716,ZCTA5 11716,3593
8600000US11717,ZCTA5 11717,13785
8600000US11718,ZCTA5 11718,1082
8600000US11719,ZCTA5 11719,1175
8600000US11720,ZCTA5 11720,8888
8600000US11721,ZCTA5 11721,2349
8600000US11722,ZCTA5 11722,9330
8600000US11724,ZCTA5 11724,977
8600000US11725,ZCTA5 11725,9694
8600000US11726,ZCTA5 11726,5693
8600000US11727,ZCTA5 11727,11087
8600000US11729,ZCTA5 11729,8616
8600000US11730,ZCTA5 11730,4536
8600000US11731,ZCTA5 11731,10063
8600000US11732,ZCTA5 11732,1453
8600000US11733,ZCTA5 11733,5456
8600000US11735,ZCTA5 11735,11726
8600000US11738,ZCTA5 11738,5422
8600000US11739,ZCTA5 11739,293
8600000US11740,ZCTA5 11740,3294
8600000US11741,ZCTA5 11741,9000
8600000US11742,ZCTA5 11742,4358
8600000US11743,ZCTA5 11743,15197
8600000US11746,ZCTA5 11746,21005
8600000US11747,ZCTA5 11747,7003
8600000US11749,ZCTA5 11749,1019
8600000US11751,ZCTA5 11751,5018
8600000US11752,ZCTA5 11752,2981
8600000US11753,ZCTA5 11753,4394
8600000US11754,ZCTA5 11754,6684
8600000US11755,ZCTA5 11755,4227
8600000US11756,ZCTA5 11756,13571
8600000US11757,ZCTA5 11757,14534
8600000US11758,ZCTA5 11758,18565
8600000US11762,ZCTA5 11762,7554
8600000US11763,ZCTA5 11763,9444
8600000US11764,ZCTA5 11764,4127
8600000US11765,ZCTA5 11765,250
8600000US11766,ZCTA5 11766,4114
8600000US11767,ZCTA5 11767,4989
8600000US11768,ZCTA5 11768,7834
8600000US11769,ZCTA5 11769,3298
8600000US11770,ZCTA5 11770,26
8600000US11771,ZCTA5 11771,3600
8600000US11772,ZCTA5 11772,17303
